ward_code,ward_name,pt_accessibility_2013,Homes _os_access_2013
E05000194,Bush Hill Park,-7.417976907,0.811537239
E05000195,Chase,-13.01711396,22.67679052
E05000196,Cockfosters,-8.310290887,16.76207288
E05000197,Edmonton Green,1.168901025,4.561272756
E05000198,Enfield Highway,-8.923668797,1.828804274
E05000199,Enfield Lock,-8.534295622,6.269373075
E05000200,Grange,-4.747924167,-7.747269648
E05000201,Haselbury,-5.329585662,0.285125377
E05000202,Highlands,-7.637203199,1.038338506
E05000203,Jubilee,-9.30732707,14.4743856
E05000204,Lower Edmonton,-3.911928092,3.782768875
E05000205,Palmers Green,-8.860780963,-6.540667826
E05000206,Ponders End,-3.214648837,10.11248271
E05000207,Southbury,-5.068183599,6.471357807
E05000208,Southgate,-4.529574726,-5.0551331
E05000209,Southgate Green,0.814891571,-5.02045033
E05000210,Town,-8.700057179,-8.066987862
E05000211,Turkey Street,-9.18820612,0.26056622
E05000212,Upper Edmonton,-2.660921526,-1.811328756
E05000213,Winchmore Hill,-5.948028516,-8.454739778
E05000214,Abbey Wood,-5.071887866,11.60075753
E05000215,Blackheath Westcombe,-2.502755587,-3.917085519
E05000216,Charlton,1.811107464,1.550743051
E05000217,Coldharbour and New Eltham,-6.488387915,-5.784195077
E05000218,Eltham North,-6.366381856,-1.310394534
E05000219,Eltham South,-3.114557026,7.66456783
E05000220,Eltham West,-5.126941316,-4.608860787
E05000221,Glyndon,1.568868388,1.522428658
E05000222,Greenwich West,5.872498324,14.02944319
E05000223,Kidbrooke with Hornfair,-8.729230103,-2.312328374
E05000224,Middle Park and Sutcliffe,-10.76286426,-0.47605464
E05000225,Peninsula,5.376151994,5.187054895
E05000226,Plumstead,-1.514822136,1.981077998
E05000227,Shooters Hill,-9.575867387,10.84500212
E05000228,Thamesmead Moorings,-8.095973424,3.111782386
E05000229,Woolwich Common,1.597463222,4.249904395
E05000230,Woolwich Riverside,5.147064397,-11.43037741
E05000231,Brownswood,16.84082661,-3.23209597
E05000232,Cazenove,6.960676664,-9.742943191
